,E,F,R,phi,fn,EF
0,-11.774628639221191,"[[ 0.00035146 -0.00280728 -0.00329718]
 [ 0.00021563  0.00284876 -0.0032727 ]
 [-0.00016612 -0.00035858  0.00306407]
 [-0.00040096  0.0003171   0.00350581]]","[[-0.01463159 -0.01667007  0.00332483]
 [ 0.01445254 -0.02237601  1.48302803]
 [ 0.73867866  0.71568951 -0.21729712]
 [-0.73733959  0.71544916  1.69020807]]",91.655826192649,hper_a.xyz,"[0.01, 0.01, 0.01]"
1,-11.774764060974121,"[[ 0.00017564 -0.00216525 -0.00253182]
 [ 0.00023824  0.00216402 -0.00251664]
 [-0.00018501 -0.00024852  0.00252644]
 [-0.00022887  0.00024975  0.00252201]]","[[-0.01588572 -0.01649494  0.00331981]
 [ 0.01573545 -0.02213931  1.4829712 ]
 [ 0.74358627  0.70938537 -0.21758973]
 [-0.74227296  0.70918749  1.69054121]]",92.655826192649,hper_a.xyz,"[0.01, 0.01, 0.01]"
2,-11.772747993469238,"[[ 1.1471433e-03 -1.3992552e-03 -1.9034430e-03]
 [-8.4377336e-04  1.7939202e-03 -1.8459271e-03]
 [ 6.8421441e-04 -3.7644344e-04 -1.7829033e-04]
 [-9.8758435e-04 -1.8221530e-05  3.9276606e-03]]","[[-0.01712918 -0.01642078  0.00318341]
 [ 0.01702725 -0.02177525  1.48277952]
 [ 0.74840474  0.70300232 -0.21792554]
 [-0.74714124  0.70287169  1.69118845]]",93.655826192649,hper_a.xyz,"[0.01, 0.01, 0.01]"
3,-11.774456977844238,"[[ 0.00050442 -0.00173161 -0.00213678]
 [-0.0001893   0.00187357 -0.00210647]
 [ 0.00015862 -0.00026338  0.00137845]
 [-0.00047374  0.00012141  0.00286481]]","[[-0.01838209 -0.016187    0.00323295]
 [ 0.01830229 -0.02156841  1.48276845]
 [ 0.75316489  0.69656857 -0.21856811]
 [-0.75192061  0.6964665   1.69177446]]",94.655826192649,hper_a.xyz,"[0.01, 0.01, 0.01]"
4,-11.776488304138184,"[[ 1.10353506e-03  1.10278525e-04 -1.45324098e-04]
 [-1.07554405e-03  2.98532104e-04 -8.66944611e-05]
 [ 8.57144769e-04 -2.16211716e-04 -2.04858556e-03]
 [-8.85135727e-04 -1.92598891e-04  2.28060409e-03]]","[[-0.01970073 -0.01619232  0.00301855]
 [ 0.01967755 -0.02114463  1.4824863 ]
 [ 0.75778898  0.69007444 -0.21878758]
 [-0.75660216  0.6900492   1.69247224]]",95.655826192649,hper_a.xyz,"[0.01, 0.01, 0.01]"
5,-11.774317741394043,"[[ 9.8870287e-04 -2.0785299e-03 -2.6879110e-03]
 [-6.3741388e-04  2.3906997e-03 -2.6252104e-03]
 [ 5.1797606e-04 -3.7655310e-04  9.9489337e-04]
 [-8.6926506e-04  6.4383399e-05  4.3182280e-03]]","[[-0.02104355 -0.0157274   0.00336166]
 [ 0.02100206 -0.02118426  1.48275423]
 [ 0.76237767  0.68356296 -0.21967452]
 [-0.76117818  0.68351573  1.69273746]]",96.655826192649,hper_a.xyz,"[0.01, 0.01, 0.01]"
6,-11.774985313415527,"[[-1.1387849e-05 -1.8966555e-03 -2.2390999e-03]
 [ 2.7612201e-04  1.8550667e-03 -2.2349521e-03]
 [-2.0802931e-04 -1.5455687e-04  2.4696013e-03]
 [-5.6704841e-05  1.9614561e-04  2.0044509e-03]]","[[-0.02236582 -0.01570964  0.00316719]
 [ 0.02238351 -0.02077448  1.48248184]
 [ 0.76685423  0.67694295 -0.22013764]
 [-0.76570116  0.67696109  1.6936419 ]]",97.655826192649,hper_a.xyz,"[0.01, 0.01, 0.01]"
7,-11.77743911743164,"[[ 0.00132622 -0.00044732 -0.00085808]
 [-0.00122333  0.00090353 -0.00077171]
 [ 0.00096276 -0.00029082 -0.00167007]
 [-0.00106565 -0.00016539  0.00329986]]","[[-0.02375627 -0.0156281   0.00305856]
 [ 0.0238102  -0.02042574  1.4822862 ]
 [ 0.77122351  0.67029475 -0.22058839]
 [-0.77011787  0.67036503  1.69438826]]",98.655826192649,hper_a.xyz,"[0.01, 0.01, 0.01]"
8,-11.774115562438965,"[[ 4.3781480e-04 -7.0093095e-04 -9.4635680e-04]
 [-3.4109966e-04  8.4119971e-04 -9.1501942e-04]
 [ 2.7049403e-04 -1.3641729e-04  1.6400401e-04]
 [-3.6720917e-04 -3.8514709e-06  1.6973722e-03]]","[[-0.02506228 -0.01543989  0.003054  ]
 [ 0.0251389  -0.02014118  1.48219488]
 [ 0.77557417  0.6635692  -0.22150977]
 [-0.77451232  0.66367295  1.69540159]]",99.655826192649,hper_a.xyz,"[0.01, 0.01, 0.01]"
9,-11.774291038513184,"[[ 6.7505013e-04  5.1667873e-04  4.5730534e-04]
 [-7.1132497e-04 -2.8110220e-04  5.0462829e-04]
 [ 5.4961524e-04 -8.6520980e-05 -1.7936132e-03]
 [-5.1334040e-04 -1.4905554e-04  8.3167950e-04]]","[[-0.02646579 -0.01534514  0.00295232]
 [ 0.02657686 -0.01978788  1.48199482]
 [ 0.77979375  0.65681337 -0.22210199]
 [-0.77877446  0.65696079  1.69628769]]",100.655826192649,hper_a.xyz,"[0.01, 0.01, 0.01]"
