,E,F,R,phi,fn,EF
0,-11.454978942871094,"[[ 2.4092701e-04  1.0484775e-03  1.1328019e-03]
 [-4.4683332e-04 -9.1009255e-04  1.1530088e-03]
 [ 4.0059336e-04  5.2963103e-05 -1.8716035e-03]
 [-1.9468703e-04 -1.9134805e-04 -4.1420711e-04]]","[[-0.01546714 -0.02194501 -0.00225161]
 [ 0.01547741 -0.01754524  1.47741832]
 [ 0.73690376  0.71602576 -0.20679531]
 [-0.7382967   0.71597108  1.69254468]]",91.655826192649,hper_a.xyz,"[-0.01, -0.01, -0.01]"
1,-11.460840225219727,"[[-7.5749913e-04  5.6383840e-04  8.2508329e-04]
 [ 6.2796468e-04 -8.2877226e-04  7.9810852e-04]
 [-4.8553530e-04  2.1379112e-04  5.8309827e-04]
 [ 6.1506982e-04  5.1142775e-05 -2.2062901e-03]]","[[-0.01662095 -0.02170751 -0.00223086]
 [ 0.01661487 -0.01730237  1.47738935]
 [ 0.74188051  0.70968299 -0.20776535]
 [-0.74325043  0.7095977   1.69354199]]",92.655826192649,hper_a.xyz,"[-0.01, -0.01, -0.01]"
2,-11.461827278137207,"[[-5.95873571e-04  3.15389549e-03  3.75838741e-03]
 [-7.56469035e-07 -3.25303641e-03  3.76432994e-03]
 [ 1.17565316e-04  4.15651390e-04 -3.23808729e-03]
 [ 4.79064707e-04 -3.16510355e-04 -4.28463006e-03]]","[[-0.01789503 -0.02164045 -0.00236996]
 [ 0.01789628 -0.01694358  1.47718975]
 [ 0.74669969  0.70331324 -0.20813194]
 [-0.74808299  0.70323163  1.69427123]]",93.655826192649,hper_a.xyz,"[-0.01, -0.01, -0.01]"
3,-11.463595390319824,"[[ 5.2066875e-04 -2.6077576e-04 -4.2494535e-04]
 [-4.6323342e-04  4.4300233e-04 -4.0144872e-04]
 [ 3.6054058e-04 -1.2884522e-04 -5.6343636e-04]
 [-4.1797591e-04 -5.3381347e-05  1.3898304e-03]]","[[-0.0192123  -0.0211947  -0.00207309]
 [ 0.01915554 -0.01695045  1.47742341]
 [ 0.75147664  0.69692133 -0.20907279]
 [-0.75279745  0.69675735  1.69470365]]",94.655826192649,hper_a.xyz,"[-0.01, -0.01, -0.01]"
4,-11.465045928955078,"[[ 7.2047085e-05 -1.9797005e-03 -2.3128355e-03]
 [ 2.5625041e-04  1.9379684e-03 -2.3286461e-03]
 [-2.6958680e-04 -1.8565849e-04  2.5444687e-03]
 [-5.8710684e-05  2.2739061e-04  2.0970129e-03]]","[[-0.02050515 -0.02087088 -0.00192147]
 [ 0.0204136  -0.0168243   1.47750724]
 [ 0.75617267  0.69044361 -0.21001809]
 [-0.7574562   0.69023086  1.69543504]]",95.655826192649,hper_a.xyz,"[-0.01, -0.01, -0.01]"
5,-11.46683120727539,"[[-3.2318570e-04 -1.7064880e-03 -1.9124377e-03]
 [ 5.8063457e-04  1.5359530e-03 -1.9478354e-03]
 [-5.1446509e-04 -7.8386387e-05  2.8534790e-03]
 [ 2.5701619e-04  2.4892134e-04  1.0067943e-03]]","[[-0.02172044 -0.02063727 -0.0019026 ]
 [ 0.02161481 -0.01656668  1.47745722]
 [ 0.76082517  0.68387149 -0.21116497]
 [-0.7620824   0.6836364   1.69662672]]",96.655826192649,hper_a.xyz,"[-0.01, -0.01, -0.01]"
6,-11.470608711242676,"[[-1.1142488e-03  1.1040688e-03  1.5586435e-03]
 [ 9.3853899e-04 -1.4636911e-03  1.5026538e-03]
 [-7.0022600e-04  3.0109740e-04  4.4313024e-04]
 [ 8.7593583e-04  5.8524802e-05 -3.5044276e-03]]","[[-0.02301394 -0.02060432 -0.00210007]
 [ 0.02291999 -0.01613809  1.4771802 ]
 [ 0.76534074  0.67725537 -0.21183729]
 [-0.76660165  0.67703577  1.69778512]]",97.655826192649,hper_a.xyz,"[-0.01, -0.01, -0.01]"
7,-11.473075866699219,"[[ 3.6344578e-04 -1.0996145e-03 -1.3835514e-03]
 [-2.1200710e-04  1.1950562e-03 -1.3709926e-03]
 [ 1.3124193e-04 -1.5246296e-04  8.4459607e-04]
 [-2.8268062e-04  5.7021229e-05  1.9099478e-03]]","[[-0.02443272 -0.02021741 -0.00185135]
 [ 0.02429583 -0.016093    1.4773405 ]
 [ 0.76975441  0.67064111 -0.21275949]
 [-0.77096858  0.67036532  1.69831662]]",98.655826192649,hper_a.xyz,"[-0.01, -0.01, -0.01]"
8,-11.477252006530762,"[[-2.1405185e-04 -1.6441859e-03 -1.9009971e-03]
 [ 4.1165255e-04  1.5289249e-03 -1.9313378e-03]
 [-3.6954411e-04 -8.1041551e-05  2.5502678e-03]
 [ 1.7194342e-04  1.9630247e-04  1.2820669e-03]]","[[-0.02573268 -0.01992052 -0.00175239]
 [ 0.0255754  -0.01589501  1.4773525 ]
 [ 0.77415316  0.6639307  -0.2139577 ]
 [-0.77532673  0.66362489  1.69940979]]",99.655826192649,hper_a.xyz,"[-0.01, -0.01, -0.01]"
9,-11.475920677185059,"[[-0.0014568   0.00055321  0.00100603]
 [ 0.00138353 -0.00103176  0.00090737]
 [-0.00105351  0.00030229  0.00173317]
 [ 0.00112678  0.00017625 -0.00364657]]","[[-0.02698202 -0.01982938 -0.00191685]
 [ 0.02682772 -0.01546522  1.47709818]
 [ 0.77849407  0.6571407  -0.21503821]
 [-0.77965025  0.65684633  1.70090928]]",100.655826192649,hper_a.xyz,"[-0.01, -0.01, -0.01]"
