frame,q,P_rad,x_cp,y_cp,E_pot_eV,normal_x,normal_y,normal_z,cos_theta_to_lab_z,theta_to_lab_z_deg
0,0.40998177743089537,1.2899156350051888,0.11364774198392791,0.3939152809518194,-68.11537170410156,-0.34374036862953267,0.5201385055382537,0.7818558013028138,0.7818558013028138,38.56919373026772
1,0.32690013189958067,-2.425769041426923,-0.24666347871984992,-0.21452464777219743,-67.67803192138672,0.3323570632726179,-0.5152699149741872,-0.7899593009866362,-0.7899593009866362,142.181708271092
2,0.4352186041779665,-2.4704427108155556,-0.34082275697881065,-0.2706567600263847,-67.71953582763672,-0.3402197457198107,0.5296963011424307,0.7769635468787289,0.7769635468787289,39.01660476263451
3,136.39928234149932,3.114999063187656,-136.35105309851483,3.6269191060786925,-35.25104904174805,0.12731223091730948,-0.4583378697131903,-0.8796124106932737,-0.8796124106932737,151.59564405213357
4,318.8568373668408,3.114966515811203,-318.7438170734207,8.488922961701403,-35.24828338623047,0.12734556465053762,-0.45827293772621536,-0.8796414165508695,-0.8796414165508695,151.59913793079377
5,501.31438326820273,3.1149577266908204,-501.136572723251,13.350893257464751,-35.24753189086914,0.12735463159759514,-0.4582552502520353,-0.8796493184372312,-0.8796493184372312,151.60008981483838
6,683.7719247801165,3.1149536374794247,-683.5293241371594,18.212857054931572,-35.2471809387207,0.12735885958341436,-0.45824699875861835,-0.8796530048913214,-0.8796530048913214,151.6005339057467
7,866.2294637968236,3.114951273529566,-865.9220731102666,23.07481852909074,-35.246978759765625,0.12736130648996377,-0.4582422222297211,-0.879655138889745,-0.879655138889745,151.60079098205904
8,1048.6870012099407,3.1149497331589626,-1048.3148205047944,27.93677892490079,-35.24684524536133,0.12736290198075037,-0.45823910731233636,-0.879656530543959,-0.879656530543959,151.60095863156707
9,1231.1445375066698,3.1149486498069825,-1230.7075667962736,32.798738739590235,-35.24674987792969,0.12736402459607354,-0.4582369154107818,-0.8796575098261271,-0.8796575098261271,151.60107660406982
10,1413.6020729817517,3.114947846346289,-1413.1003122739423,37.66069820903918,-35.246681213378906,0.12736485743771214,-0.45823528919079637,-0.8796582363793899,-0.8796582363793899,151.60116413102972
11,1596.0596078269098,3.114947226712011,-1595.4930571266157,42.5226574587582,-35.24662780761719,0.12736549988082038,-0.458234034688635,-0.8796587968599437,-0.8796587968599437,151.60123165158777
12,1778.5171421737996,3.1149467342892314,-1777.8858014842795,47.384616561291196,-35.246585845947266,0.12736601052161864,-0.4582330375224905,-0.8796592423698616,-0.8796592423698616,151.60128532184783
13,1960.9746761167448,3.1149463335475502,-1960.2785454402376,52.24657556126543,-35.246551513671875,0.12736642614859348,-0.45823222587434015,-0.8796596049952405,-0.8796596049952405,151.60132900713566
14,2143.4322097255854,3.1149460010615972,-2142.671289063676,57.10853448750551,-35.246524810791016,0.12736677102423105,-0.4582315523763158,-0.8796599058986678,-0.8796599058986678,151.60136525685934
15,2325.8897430535158,3.114945720760419,-2325.0640324073543,61.97049335937399,-35.246498107910156,0.12736706179804644,-0.4582309845217823,-0.879660159603202,-0.879660159603202,151.60139582058292
16,2508.347276141953,3.114945481251314,-2507.4567755123885,66.83245219030678,-35.24647903442383,0.1273673102753781,-0.45823049926095244,-0.8796603764068687,-0.8796603764068687,151.60142193889186
17,2690.8048090237976,3.114945274232983,-2689.8495184114686,71.6944109898907,-35.2464599609375,0.1273675250597149,-0.45823007979502733,-0.8796605638149331,-0.8796605638149331,151.60144451593425
18,2873.2623417256,3.114945093513566,-2872.2422611309908,76.55636976511121,-35.24644470214844,0.12736771256929005,-0.45822971359167364,-0.879660727426523,-0.879660727426523,151.6014642262297
19,3055.7198742690957,3.114944934380616,-3054.6350036925787,81.41832852115769,-35.24643325805664,0.12736787768947272,-0.45822939111140587,-0.8796608715036437,-0.8796608715036437,151.60148158321718
20,3238.1774066723156,3.1149447931841494,-3237.027746114178,86.28028726196425,-35.24641799926758,0.12736802420460525,-0.4582291049645108,-0.8796609993478388,-0.8796609993478388,151.60149698463036
21,3420.6349389503603,3.11494466705319,-3419.4204884108262,91.14224599055504,-35.24641036987305,0.127368155091641,-0.4582288493377573,-0.879661113556321,-0.879661113556321,151.60151074335323
22,3603.0924711160455,3.114944553698469,-3601.813230595289,96.00420470927239,-35.24639892578125,0.12736827272456303,-0.45822861959528405,-0.8796612162002836,-0.8796612162002836,151.60152310890092
23,3785.5500031803113,3.1149444512721893,-3784.205972678468,100.866163419971,-35.24639129638672,0.12736837901969067,-0.45822841199488723,-0.8796613089516558,-0.8796613089516558,151.60153428268964
24,3968.0075351525493,3.114944358266507,-3966.5987146697253,105.72812212410972,-35.24638366699219,0.12736847554089742,-0.4582282234825811,-0.8796613931748885,-0.8796613931748885,151.60154442909402
25,4150.465067040918,3.1149442734387778,-4148.991456577196,110.59008082288032,-35.246376037597656,0.1273685635770754,-0.4582280515413419,-0.8796614699945302,-0.8796614699945302,151.60155368358792
26,4332.922598852541,3.114944195755715,-4331.384198407984,115.45203951723485,-35.246368408203125,0.1273686442000326,-0.4582278940780594,-0.8796615403457356,-0.8796615403457356,151.6015621588291
27,4515.380130593657,3.114944124351081,-4513.776940168312,120.31399820793935,-35.246360778808594,0.12736871830834737,-0.4582277493379005,-0.8796616050125248,-0.8796616050125248,151.60156994926814
28,4697.837662269792,3.1149440584932324,-4696.1696818636965,125.1759568956402,-35.24635696411133,0.12736878666100926,-0.45822761583862176,-0.879661664657131,-0.879661664657131,151.6015771346841
29,4880.295193885864,3.1149439975599607,-4878.562423499042,130.03791558087318,-35.2463493347168,0.12736884990351122,-0.4582274923196209,-0.8796617198427635,-0.8796617198427635,151.60158378292675
30,5062.752725446182,3.114943941018772,-5060.9551650786525,134.8998742640581,-35.24634552001953,0.1273689085882985,-0.4582273777020004,-0.8796617710514502,-0.8796617710514502,151.60158995206586
31,5245.210256954683,3.1149438884112715,-5243.3479066064565,139.7618329455726,-35.246341705322266,0.1273689631909545,-0.458227271056966,-0.879661818698156,-0.879661818698156,151.6015956920923
32,5427.667788414876,3.114943839340716,-5425.740648085958,144.6237916257067,-35.246337890625,0.12736901412311677,-0.45822717158059967,-0.8796618631420536,-0.8796618631420536,151.60160104627548
33,5610.125319829896,3.114943793461977,-5608.13338952029,149.48575030473063,-35.246334075927734,0.1273690617428757,-0.4582270785735571,-0.8796619046955954,-0.8796619046955954,151.60160605225659
34,5792.582851202642,3.114943750473417,-5790.5261309123425,154.3477089828682,-35.24633026123047,0.12736910636320914,-0.4582269914245957,-0.879661943631871,-0.879661943631871,151.60161074293475
35,5975.040382535661,3.1149437101102517,-5972.918872264665,159.2096676602812,-35.2463264465332,0.12736914825886408,-0.4582269095971298,-0.8796619801906158,-0.8796619801906158,151.60161514719093
36,6157.497913831408,3.114943672139078,-6155.311613579708,164.0716263371451,-35.24632263183594,0.12736918767203229,-0.45822683261816105,-0.879662014583155,-0.879662014583155,151.60161929048343
37,6339.955445091904,3.1149436363533702,-6337.70435485949,168.93358501356525,-35.24631881713867,0.1273692248170172,-0.45822676006914337,-0.879662046996486,-0.879662046996486,151.60162319533987
38,6522.412976319255,3.114943602569706,-6520.097096106116,173.79554368969158,-35.246315002441406,0.1273692598841546,-0.4582266915783514,-0.8796620775966879,-0.8796620775966879,151.60162688176786
39,6704.870507515252,3.11494357062464,-6702.4898373213755,178.65750236558745,-35.246315002441406,0.1273692930430578,-0.4582266268145226,-0.8796621065317615,-0.8796621065317615,151.60163036759704
