ray,direction,orientation,n_min,n_min_ml,n_min_wall,e_min_kcal,r_at_min
0,0,0,1,1,0,-1.73404150390625,5.800000000000001
1,0,1,0,0,0,0.0,nan
2,0,2,1,1,0,-0.836407600402832,6.0
3,0,3,1,1,0,-0.7414012680053711,6.4
4,0,4,1,1,0,-1.4550043869018556,5.4
5,0,5,1,1,0,-1.1974316635131836,5.6
6,0,6,1,1,0,-0.435973503112793,6.2
7,0,7,1,1,0,-1.7757387275695802,5.800000000000001
8,0,8,1,1,0,-3.2793019065856934,5.0
9,0,9,0,0,0,0.0,nan
10,0,10,1,1,0,-1.6057829551696778,5.800000000000001
11,0,11,1,1,0,-2.126558406829834,5.0
12,0,12,1,1,0,-0.5571945457458496,5.2
13,0,13,1,1,0,-0.4454741363525391,6.2
14,0,14,1,1,0,-2.673724506378174,5.2
15,0,15,1,1,0,-0.6854530944824219,5.2
16,0,16,1,1,0,-0.5156732597351075,5.800000000000001
17,0,17,1,1,0,-1.677917392730713,5.0
18,0,18,1,1,0,-2.098056507110596,5.0
19,0,19,1,1,0,-1.547547592163086,5.6
20,0,20,0,0,0,0.0,nan
21,0,21,2,1,1,-0.3290034103393555,6.0
22,0,22,2,2,0,-0.7130753059387207,5.4
23,0,23,0,0,0,0.0,nan
24,1,0,1,1,0,-0.7693753547668457,5.4
25,1,1,1,1,0,-1.1367331733703614,5.0
26,1,2,2,2,0,-4.040408191680909,4.8
27,1,3,1,1,0,-1.2382491989135742,5.2
28,1,4,0,0,0,0.0,nan
29,1,5,2,2,0,-4.153887977600098,5.0
30,1,6,2,2,0,-1.0556259155273438,5.0
31,1,7,1,1,0,-0.7604025344848633,5.4
32,1,8,1,1,0,-0.8080816383361816,5.6
33,1,9,1,1,0,-0.6073367767333985,6.2
34,1,10,1,1,0,-2.213823482513428,5.2
35,1,11,0,0,0,0.0,nan
36,1,12,1,1,0,-2.1453837356567385,5.0
37,1,13,2,2,0,-1.7901656150817873,4.8
38,1,14,0,0,0,0.0,nan
39,1,15,1,1,0,-2.199572532653809,5.0
40,1,16,0,0,0,0.0,nan
41,1,17,0,0,0,0.0,nan
42,1,18,0,0,0,0.0,nan
43,1,19,2,2,0,-0.36207968902587895,6.0
44,1,20,2,1,1,-0.5207754516601563,6.0
45,1,21,1,1,0,-0.7846819305419922,5.0
46,1,22,2,1,1,-0.8601591835021973,6.2
47,1,23,1,1,0,-0.4120459823608399,5.0
48,2,0,1,1,0,-0.876697322845459,5.0
49,2,1,2,1,1,-9.637336795806885,4.8
50,2,2,1,1,0,-0.39955440902709966,6.0
51,2,3,0,0,0,0.0,nan
52,2,4,1,1,0,-1.2586579666137696,5.800000000000001
53,2,5,2,2,0,-0.2839633712768555,6.0
54,2,6,1,1,0,0.16749264526367189,4.2
55,2,7,2,2,0,-0.4171481742858887,5.800000000000001
56,2,8,1,1,0,-0.2899452514648438,5.800000000000001
57,2,9,1,1,0,-0.004574378967285156,4.4
58,2,10,1,1,0,-0.30701120376586916,5.0
59,2,11,3,3,0,-1.6590920639038087,4.4
60,2,12,1,1,0,0.5367857780456543,4.4
61,2,13,2,2,0,-0.3733396987915039,5.800000000000001
62,2,14,2,2,0,-3.9853397064208984,4.2
63,2,15,0,0,0,0.0,nan
64,2,16,3,2,1,-11.29836417388916,4.6
65,2,17,0,0,0,0.0,nan
66,2,18,3,2,1,-2.072369609832764,4.6
67,2,19,2,2,0,-2.4942681007385255,4.4
68,2,20,1,1,0,-3.6095368804931645,4.4
69,2,21,1,1,0,-1.2839929885864259,5.800000000000001
70,2,22,1,1,0,-1.2700939140319825,4.2
71,2,23,1,1,0,-0.4284081840515137,5.6
72,3,0,1,1,0,-4.68838656616211,5.2
73,3,1,1,1,0,-1.064950611114502,5.800000000000001
74,3,2,1,1,0,-3.9886825218200688,4.4
75,3,3,2,2,0,-0.7171218719482422,5.4
76,3,4,1,1,0,-0.8362316627502442,5.800000000000001
77,3,5,1,1,0,-1.8856997604370118,5.2
78,3,6,2,2,0,-3.5386340065002444,5.0
79,3,7,2,1,1,-5.210569519042969,5.0
80,3,8,1,1,0,-0.8599832458496094,5.800000000000001
81,3,9,3,2,1,-2.0713139839172365,5.4
82,3,10,2,2,0,-4.881214233398437,5.2
83,3,11,3,3,0,-2.4590805702209475,4.6
84,3,12,1,1,0,-1.769580909729004,5.800000000000001
85,3,13,1,1,0,-0.5112748184204102,6.0
86,3,14,1,1,0,-1.6897052154541017,5.4
87,3,15,2,1,1,-1.4456796913146974,5.800000000000001
88,3,16,1,1,0,-0.955693328857422,5.6
89,3,17,1,1,0,-2.1612181243896487,5.4
90,3,18,2,2,0,-2.2303616218566895,4.6
91,3,19,1,1,0,-7.3029960212707525,4.8
92,3,20,2,2,0,-2.046506774902344,5.4
93,3,21,1,1,0,-2.0452752113342285,5.0
94,3,22,1,0,1,-5.183651058197022,5.0
95,3,23,1,1,0,-1.3594702415466309,5.800000000000001
96,4,0,1,1,0,-0.7938306884765626,4.6
97,4,1,2,2,0,-2.453450565338135,4.8
98,4,2,2,1,1,-3.7909286003112794,4.8
