step,time_fs,E_pot_eV,E_kin_eV,E_tot_eV,T_K
0,0.0,-68.02099609375,0.4638843654257581,-67.55711172832424,239.25139342481478
1000,500.0,-67.740478515625,0.1929629738935037,-67.5475155417315,99.521914995011
2000,1000.0,-67.80732727050781,0.24960276101771517,-67.5577245094901,128.73425540298118
3000,1500.0,-67.80703735351562,0.24933161652152544,-67.5577057369941,128.59441085686606
4000,2000.0,-67.76803588867188,0.21375101860558846,-67.55428487006628,110.24348492629944
5000,2500.0,-67.78555297851562,0.22061890652004532,-67.56493407199558,113.78564300681839
6000,3000.0,-67.86027526855469,0.3022971412994954,-67.5579781272552,155.911726444718
7000,3500.0,-67.8097915649414,0.25321637007670633,-67.5565751948647,130.59799789376908
8000,4000.0,-67.82483673095703,0.26814066331575825,-67.55669606764127,138.2952996772567
9000,4500.0,-67.81568908691406,0.26533817136948473,-67.55035091554458,136.84989613882883
10000,5000.0,-67.76019287109375,0.2070521693913742,-67.55314070170238,106.78850966027059
11000,5500.0,-67.79594421386719,0.24940170757270028,-67.54654250629449,128.63056077462585
12000,6000.0,-67.84669494628906,0.29228848173575633,-67.55440646455331,150.7496948579423
13000,6500.0,-67.74663543701172,0.1953709064489514,-67.55126453056276,100.76382194877324
14000,7000.0,-67.82251739501953,0.25883614926319143,-67.56368124575634,133.49643574017568
15000,7500.0,-67.79841613769531,0.24442445961722864,-67.55399167807808,126.06351261021
16000,8000.0,-67.8467788696289,0.29435495542207757,-67.55242391420683,151.81549216817132
17000,8500.0,-67.78938293457031,0.23878785352182955,-67.55059508104848,123.15639617555003
18000,9000.0,-67.75399017333984,0.2085035943677448,-67.5454865789721,107.53709157837324
19000,9500.0,-67.84170532226562,0.2917556963152892,-67.54994962595033,150.47490729504136
20000,10000.0,-67.79269409179688,0.24228176504767734,-67.5504123267492,124.95840388127402
21000,10500.0,-67.77143859863281,0.22591224834483314,-67.54552635028799,116.51571865032922
22000,11000.0,-67.76126861572266,0.2107545598070883,-67.55051405591557,108.69804171606488
23000,11500.0,-67.78063201904297,0.2306334582596052,-67.54999856078337,118.95071352178506
24000,12000.0,-67.80052185058594,0.255322906285153,-67.54519894430078,131.68445771163363
25000,12500.0,-67.78678894042969,0.23289770322936734,-67.55389123720032,120.11851266408536
26000,13000.0,-67.81156158447266,0.25988940112004083,-67.55167218335262,134.03965726941868
27000,13500.0,-67.83685302734375,0.28632112068425325,-67.5505319066595,147.67198939285137
28000,14000.0,-67.7800064086914,0.2355323647113477,-67.54447404398006,121.47735654361112
29000,14500.0,-67.78296661376953,0.23568882234676553,-67.54727779142277,121.55805059168776
30000,15000.0,-67.77495574951172,0.22836360123947244,-67.54659214827224,117.78001992782563
31000,15500.0,-67.81024932861328,0.26119680691026376,-67.54905252170302,134.7139603509537
32000,16000.0,-67.70140075683594,0.16116352776069923,-67.54023722907525,83.12114281027041
33000,16500.0,-67.80094909667969,0.25633492194535185,-67.54461417473433,132.2064114029336
34000,17000.0,-67.7672119140625,0.22338605885683505,-67.54382585520567,115.21281991067468
35000,17500.0,-67.8565444946289,0.3042035894009476,-67.55234090522796,156.89498951362074
36000,18000.0,-67.77627563476562,0.2255935371485931,-67.55068209761703,116.35134126776634
37000,18500.0,-67.78921508789062,0.24030359114269145,-67.54891149674793,123.93814776039765
38000,19000.0,-67.80757141113281,0.2630349819048927,-67.54453642922792,135.6620111187781
39000,19500.0,-67.81302642822266,0.26629656208898944,-67.54672986613366,137.3441924164722
40000,20000.0,-67.77095794677734,0.22120342099940368,-67.54975452577794,114.08711016994452
41000,20500.0,-67.76007843017578,0.2090299053061752,-67.5510485248696,107.8085398848464
42000,21000.0,-67.84953308105469,0.2988622062857056,-67.55067087476898,154.14013626055944
43000,21500.0,-67.79183197021484,0.24826128693525384,-67.54357068327958,128.04238137705323
44000,22000.0,-67.79185485839844,0.24169131612419117,-67.55016354227425,124.65387598980135
45000,22500.0,-67.82713317871094,0.2749449225708718,-67.55218825614007,141.80464086084126
46000,23000.0,-67.72969818115234,0.17649956356780813,-67.55319861758454,91.0308035143902
47000,23500.0,-67.81957244873047,0.26802587428015157,-67.55154657445031,138.23609648187937
48000,24000.0,-67.74115753173828,0.18945652168183072,-67.55170101005645,97.71343934860651
49000,24500.0,-67.830810546875,0.27710718800523676,-67.55370335886977,142.91984339122044
50000,25000.0,-67.77019500732422,0.2210868744778444,-67.54910813284637,114.02700053970017
51000,25500.0,-67.76429748535156,0.22125817259167832,-67.54303931275989,114.11534866151754
52000,26000.0,-67.78705596923828,0.23078947732942412,-67.55626649190886,119.03118137678757
53000,26500.0,-67.79527282714844,0.24276175104189085,-67.55251107610654,125.20595979498665
54000,27000.0,-67.80792999267578,0.25296933727042237,-67.55496065540535,130.4705891093173
55000,27500.0,-67.85250091552734,0.29093293364297124,-67.56156798188437,150.05056206920187
56000,28000.0,-67.88065338134766,0.32755412938385653,-67.5530992519638,168.93818312935153
57000,28500.0,-67.83173370361328,0.27599059197050246,-67.55574311164278,142.34395168821462
58000,29000.0,-67.75225067138672,0.19881702023668518,-67.55343365115003,102.54117765865809
59000,29500.0,-67.75708770751953,0.21078491176265687,-67.54630279575687,108.7136959355303
60000,30000.0,-67.80927276611328,0.2592132968480656,-67.55005946926522,133.69095207211788
61000,30500.0,-67.77532958984375,0.23112534702880297,-67.54420424281494,119.20440836949255
62000,31000.0,-67.83181762695312,0.2839970224669807,-67.54782060448615,146.4733205469457
63000,31500.0,-67.8143539428711,0.26654267612959043,-67.5478112667415,137.47112734151793
64000,32000.0,-67.77693176269531,0.22254380081209604,-67.55438796188322,114.77841981908695
65000,32500.0,-67.78187561035156,0.23843512355907823,-67.54344048679249,122.97447339181171
66000,33000.0,-67.78364562988281,0.2380046627103542,-67.54564096717246,122.7524603955825
67000,33500.0,-67.85972595214844,0.3132243071261703,-67.54650164502226,161.54748363997615
68000,34000.0,-67.85115051269531,0.3000068327319362,-67.55114367996337,154.7304848315017
69000,34500.0,-67.76593780517578,0.2212963398710373,-67.54464146530475,114.13503368530895
70000,35000.0,-67.84822082519531,0.2989387128406561,-67.54928211235466,154.17959501632336
71000,35500.0,-67.73121643066406,0.18420227446755605,-67.54701415619651,95.00352700599092
72000,36000.0,-67.78773498535156,0.2379542502220647,-67.5497807351295,122.72645982525029
73000,36500.0,-67.76659393310547,0.21296053458972294,-67.55363339851574,109.83578762849919
74000,37000.0,-67.82190704345703,0.27580914000933393,-67.5460979034477,142.2503666532687
75000,37500.0,-67.87655639648438,0.32814533651062683,-67.54841105997374,169.2431020691236
76000,38000.0,-67.79663848876953,0.2545553290122436,-67.54208315975728,131.2885747162319
77000,38500.0,-67.8273696899414,0.27779033288903676,-67.54957935705237,143.27217983008742
78000,39000.0,-67.83927154541016,0.29035588628304687,-67.5489156591271,149.75294612172905
79000,39500.0,-67.8255844116211,0.2778180392483105,-67.54776637237278,143.2864695659721
80000,40000.0,-67.79132080078125,0.24408257303659786,-67.54723822774466,125.88718237167289
81000,40500.0,-67.8095703125,0.25715955026785553,-67.55241076223214,132.63171885005028
82000,41000.0,-67.81797790527344,0.2746107181210699,-67.54336718715237,141.6322727314897
83000,41500.0,-67.70667266845703,0.16179060212806962,-67.54488206632897,83.44456051381094
84000,42000.0,-67.73393249511719,0.19190889587384916,-67.54202359924334,98.97826736690145
85000,42500.0,-67.77679443359375,0.23363865036433712,-67.54315578322941,120.50066099178969
86000,43000.0,-67.81071472167969,0.26412312245984726,-67.54659159921984,136.22322672210197
87000,43500.0,-67.80905151367188,0.2639780125430452,-67.54507350112883,136.14838533407033
88000,44000.0,-67.73114776611328,0.19314056553823689,-67.53800720057504,99.6135090465243
89000,44500.0,-67.81998443603516,0.2746638199446947,-67.54532061609046,141.65966034409865
90000,45000.0,-67.81251525878906,0.2691792090859675,-67.5433360497031,138.83093644619578
91000,45500.0,-67.80287170410156,0.267191760014781,-67.53567994408678,137.8058965977288
92000,46000.0,-67.77129364013672,0.22513624237899826,-67.54615739775772,116.11548850146106
93000,46500.0,-67.79585266113281,0.25168644277260627,-67.5441662183602,129.80892788704733
94000,47000.0,-67.9091796875,0.36964233407916325,-67.53953735342084,190.64544979021196
95000,47500.0,-67.76596069335938,0.22867207728104025,-67.53728861607833,117.93911846246914
96000,48000.0,-67.74439239501953,0.20665182558569786,-67.53774056943384,106.58202972583877
97000,48500.0,-67.74732971191406,0.20638574427333298,-67.54094396764073,106.44479654987438
98000,49000.0,-67.70885467529297,0.16538314011033717,-67.54347153518263,85.29743545905771
99000,49500.0,-67.77661895751953,0.23233396089474287,-67.54428499662478,119.82775887037283
100000,50000.0,-67.71656799316406,0.17552682449295792,-67.5410411686711,90.52910697869628
101000,50500.0,-67.87940979003906,0.33039965830017065,-67.5490101317389,170.40578326636825
102000,51000.0,-67.77507781982422,0.23272202676096074,-67.54235579306325,120.02790637728012
103000,51500.0,-67.8281021118164,0.2786117661722902,-67.54949034564412,143.69583941482796
104000,52000.0,-67.77668762207031,0.225891702263117,-67.5507959198072,116.50512187439456
105000,52500.0,-67.77403259277344,0.2362729822734463,-67.53775961049999,121.85933489195307
106000,53000.0,-67.7813720703125,0.23729237275478182,-67.54407969755772,122.38509219545621
107000,53500.0,-67.83363342285156,0.2892436264208316,-67.54438979643074,149.17929082804127
108000,54000.0,-67.77810668945312,0.2396180569079346,-67.5384886325452,123.58457899815784
109000,54500.0,-67.75389862060547,0.2077613079827959,-67.54613731262268,107.1542525237388
110000,55000.0,-67.72113800048828,0.17511062695035215,-67.54602737353792,90.31445037582279
111000,55500.0,-67.72341918945312,0.17867232763075566,-67.54474686182238,92.15142078108003
112000,56000.0,-67.70833587646484,0.16986011166454765,-67.5384757648003,87.60646279970763
113000,56500.0,-67.71976470947266,0.17688222035191986,-67.54288248912074,91.22816125184738
114000,57000.0,-67.75062561035156,0.20560943661670966,-67.54501617373485,106.04441080201022
115000,57500.0,-67.83710479736328,0.28553984700593854,-67.55156495035735,147.2690423868419
116000,58000.0,-67.73351287841797,0.19252998736253876,-67.54098289105544,99.29859936165815
117000,58500.0,-67.70932006835938,0.1654733654367452,-67.54384670292264,85.343969760867
118000,59000.0,-67.76699829101562,0.22150467238506796,-67.54549361863056,114.2424825410853
119000,59500.0,-67.75332641601562,0.20836911972747388,-67.54495729628815,107.46773540372487
120000,60000.0,-67.7848129272461,0.2405695337356493,-67.54424339351044,124.07530939092119
121000,60500.0,-67.86102294921875,0.32047274805348575,-67.54055020116526,165.2859144241782
122000,61000.0,-67.79743957519531,0.25166478746661364,-67.5457747877287,129.79775902144218
123000,61500.0,-67.81319427490234,0.2648849531827004,-67.54830932171964,136.61614589675267
124000,62000.0,-67.81649017333984,0.26941280791081285,-67.54707736542903,138.95141656691587
125000,62500.0,-67.75260162353516,0.20670832350066304,-67.54589330003449,106.61116889475343
126000,63000.0,-67.72166442871094,0.17439979354759363,-67.54726463516334,89.9478334023303
127000,63500.0,-67.8061294555664,0.26361272679505715,-67.54251672877135,135.9599868220313
128000,64000.0,-67.8284683227539,0.2824441199467783,-67.54602420280713,145.67240092235278
129000,64500.0,-67.81932830810547,0.27994220459065616,-67.53938610351481,144.38202172486942
130000,65000.0,-67.85688781738281,0.30571516579114877,-67.55117265159167,157.67459491655723
131000,65500.0,-67.7890396118164,0.24461382990706884,-67.54442578190934,126.16118157492268
132000,66000.0,-67.7444839477539,0.20277809917088288,-67.54170584858302,104.58413000865305
133000,66500.0,-67.78165435791016,0.23915673315341376,-67.54249762475675,123.34664825654343
134000,67000.0,-67.80793762207031,0.2603087625205688,-67.54762885954975,134.25594565269455
135000,67500.0,-67.77687072753906,0.22974393389843525,-67.54712679364063,118.49193551856457
136000,68000.0,-67.8368911743164,0.29784644124471754,-67.53904473307169,153.61624880161145
137000,68500.0,-67.79451751708984,0.25063616797791594,-67.54388134911193,129.26724179707102
138000,69000.0,-67.80789184570312,0.25366099500228584,-67.55423085070083,130.82731610521316
139000,69500.0,-67.83301544189453,0.2870884195784967,-67.54592702231604,148.0677288126367
140000,70000.0,-67.78553009033203,0.2394709389892322,-67.5460591513428,123.50870197002172
